School ID,School Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
400008,ACT CHTR HS,23.3,23.7,15.3,19.5,10.3,6.6,8,8.8,3,12.8,20.2,,,,,,
400009,Academy for Global Citizenship,,,,,,,,,,9,3.5,6.7,3.3,10.2,4.3,11.4,3.3
400010,Ace Technical Charter High School,,,,,,8.5,4.2,23.2,6.8,18.3,13.5,22.9,14.6,34.3,27.3,20,22.5
400011,Locke A Elem Charter Academy,3.5,2.2,9.6,5.9,8.7,22.2,5.4,7.2,3.5,1.6,1.3,3.5,5.5,4.8,4.7,10.7,10.1
400012,Amandla Charter School,,,,,,,,,,23.1,23.5,15.7,18.5,21.7,24.3,17.1,46.1
400015,ASPIRA CHRTR HS RAMIREZ,,,,,11.3,14.3,20.9,18.1,8.8,10.7,12.3,7.5,8.9,9.5,8.5,,
400018,Austin Bus & Entrepreneurship HS,,,,,,,,9.5,9.9,23.3,25.5,20.7,36.8,36.2,37.1,24.4,52.1
400019,Bronzeville Lighthouse Elem Chrtr,,,,,,,,14,9.5,14.7,9.5,5,16.3,13.5,5.2,8.6,15.1
400020,CATALYST CHTR - HOWLAND,,,,,,,,14.4,12.5,21.9,18.9,14.4,17.4,35.3,21.9,,
400021,Catalyst Charter-Circle Rock ES,,,,,,,,,3.6,9.5,5.1,4.8,9.6,6.1,5.1,5.7,7.1
400022,Chicago HS for the Arts,,,,,,,,,,,5.6,0.7,3,4.4,4.2,4.7,22.4
400023,Chicago International Charter,,,,,,,,,,,,,6.1,9.3,8.4,10.5,9.1
400035,Chicago Math & Sci Elem Charter,,,,,,7,9.2,11.3,11.3,11,13.3,7.4,6.7,15,9.5,6.5,5
400036,Chicago Virtual Charter School,,,,,,,,88.9,35.3,30.8,38.4,37.2,25.5,31.6,24.3,35.7,40.8
400037,CHOIR ACADEMY CHRTR CAMPUS,,,,,38.9,11.3,13.6,12.4,13.1,29.3,,,,,,,
400038,Community Services West High Sch,,,,,,,,,,66.8,30.2,32.3,33,59.4,29.8,57.4,109.2
400039,Erie Elem Charter School,,,,,,,16.9,8.2,6.4,10.5,8.3,1.7,2.6,2.7,2.4,3.7,3.8
400040,Frazier Prep Acad Charter ES,,,,,,,,,14.1,12.8,9.8,10.8,11.7,7,2.4,16.6,9.1
400041,Galapagos Elem Charter School,,,,,,,16.6,5.5,3.5,9.4,7.9,15.7,11.2,20,13.2,5.2,35
400042,FORD CHTR HS,,,,,,,,,,9.2,8.6,16.8,15.1,26.3,20.5,,
400043,Hope Inst Learning Acad Elem Scho,,,,,,,,,,,26.4,18.4,9.3,14.5,10.6,7.9,10.7
400044,KIPP Chicago Charter Schools,,,,,29.9,27.3,24.2,19.1,5.8,13.1,15.3,14.8,7.9,19.8,10.9,13.3,9.4
400045,Nkrumah Academy Charter ES,,,,,,,,,,12.7,19.3,11.3,8.9,7.1,16.2,15.4,18.9
400049,Legacy Elem Charter School,,,,,,,6.4,6.1,7.3,11.7,7.7,12.5,6.4,11,7.3,9.4,17.6
400050,Namaste Elem Charter School,,,,,,4.5,11.8,4.1,7,4.9,3.4,2,1.8,1.3,4.6,5.2,3.1
400058,North Lawndale Charter HS,9.9,10.8,25.1,6.6,6.8,4.9,6.9,10.1,5.3,13,9.8,5.7,8,10.7,9.1,12.1,13.4
400060,Asian Human Services-Passage Chrt,,,21,28.7,8.8,30.5,15.1,17.5,17.4,30.3,17.3,16.1,16.8,20.9,5.4,19.1,18.1
400064,Perspectives Charter High School,,,,,,,,,,,,,12.1,14.4,10.1,10,14
400068,Plato Learning Acad  Elem School,,,,,,,,,,27.4,5.2,8.5,17.1,11.8,9.1,10.6,17.8
400069,Polaris Elem Charter Academy,,,,,,,,,25.5,12,28.1,15.7,16.1,14.8,16.5,17.2,10.2
400071,Providence-Englewood Elem Charter,,,,,,,,14.8,7.8,9.2,7.6,3.4,4.8,3.8,5.4,5.8, 
400073,Shabazz International Chrtr Schls,17.3,19.3,15.1,7.7,15.3,17.4,12.4,15,6.4,8.4,14.5,14.9,18.1,18.1,17.2,22.9,26
400075,Univ of Chicago Charter Schools,,,,,,,,,,,,,6.8,7.4,4.9,6.8,10.9
400083,UNO CHARTERS,15.5,19.9,25.7,15.7,21,8.8,15.9,14.4,3.6,8.2,19.8,4.8,5.7,5.1,5,,
400086,Urban Prep Chtr Acad Englewood HS,,,,,,,,,,,,,18.8,12.7,7.7,12.1,15.1
400087,Young Womens Leadership Chartr HS,,,,,,,,,,,,,22.7,10.3,17.5,9.2,19.1
400091,Chicago Technology Academy HS,,,,,,,,,,,36.4,28.4,18,14.2,9.2,7.2,14.2
