Zip,Community Area,Neighborhood
60007,76,O'Hare
60018,76,O'Hare
60068,9,Edison Park
60106,76,O'Hare
60131,76,O'Hare
60176,76,O'Hare
60601,32,Loop
60602,32,Loop
60603,32,Loop
60604,32,Loop
60605,32,Loop
60605,33,Near South Side
60606,28,Near West Side
60606,32,Loop
60607,28,Near West Side
60607,32,Loop
60608,28,Near West Side
60608,29,North Lawndale
60608,30,South Lawndale
60608,31,Lower West Side
60608,59,McKinley Park
60608,60,Bridgeport
60609,34,Armour Square
60609,35,Douglas
60609,37,Fuller Park
60609,38,Grand Boulevard
60609,40,Washington Park
60609,58,Brighton Park
60609,59,McKinley Park
60609,60,Bridgeport
60609,61,New City
60609,63,Gage Park
60610,7,Lincoln Park
60610,8,Near North Side
60610,24,West Town
60611,8,Near North Side
60612,23,Humboldt Park
60612,24,West Town
60612,27,East Garfield Park
60612,28,Near West Side
60612,29,North Lawndale
60613,3,Uptown
60613,5,North Center
60613,6,Lakeview
60614,5,North Center
60614,6,Lakeview
60614,7,Lincoln Park
60614,22,Logan Square
60615,38,Grand Boulevard
60615,39,Kenwood
60615,40,Washington Park
60615,41,Hyde Park
60616,28,Near West Side
60616,31,Lower West Side
60616,33,Near South Side
60616,34,Armour Square
60616,35,Douglas
60616,60,Bridgeport
60617,45,Avalon Park
60617,46,South Chicago
60617,48,Calumet Heights
60617,51,South Deering
60617,52,East Side
60617,55,Hegewisch
60618,4,Lincoln Square
60618,5,North Center
60618,14,Albany Park
60618,16,Irving Park
60618,21,Avondale
60618,22,Logan Square
60619,43,South Shore
60619,44,Chatham
60619,45,Avalon Park
60619,47,Burnside
60619,48,Calumet Heights
60619,49,Roseland
60619,50,Pullman
60619,69,Greater Grand Crossing
60620,44,Chatham
60620,49,Roseland
60620,68,Englewood
60620,69,Greater Grand Crossing
60620,70,Ashburn
60620,71,Auburn Gresham
60620,72,Beverly
60620,73,Washington Heights
60621,40,Washington Park
60621,68,Englewood
60621,69,Greater Grand Crossing
60622,22,Logan Square
60622,23,Humboldt Park
60622,24,West Town
60623,29,North Lawndale
60623,30,South Lawndale
60624,23,Humboldt Park
60624,25,Austin
60624,26,West Garfield Park
60624,27,East Garfield Park
60624,29,North Lawndale
60625,4,Lincoln Square
60625,13,North Park
60625,14,Albany Park
60626,1,Rogers Park
60626,2,West Ridge
60628,49,Roseland
60628,50,Pullman
60628,53,West Pullman
60628,54,Riverdale
60628,73,Washington Heights
60628,75,Morgan Park
60629,56,Garfield Ridge
60629,62,West Elsdon
60629,63,Gage Park
60629,64,Clearing
60629,65,West Lawn
60629,66,Chicago Lawn
60629,70,Ashburn
60630,10,Norwood Park
60630,11,Jefferson Park
60630,12,Forest Glen
60630,13,North Park
60630,14,Albany Park
60630,15,Portage Park
60630,16,Irving Park
60631,9,Edison Park
60631,10,Norwood Park
60631,76,O'Hare
60632,30,South Lawndale
60632,56,Garfield Ridge
60632,57,Archer Heights
60632,58,Brighton Park
60632,59,McKinley Park
60632,62,West Elsdon
60632,63,Gage Park
60633,50,Pullman
60633,51,South Deering
60633,55,Hegewisch
60634,15,Portage Park
60634,17,Dunning
60634,18,Montclare
60634,19,Belmont Cragin
60634,76,O'Hare
60636,63,Gage Park
60636,66,Chicago Lawn
60636,67,West Englewood
60636,68,Englewood
60637,40,Washington Park
60637,41,Hyde Park
60637,42,Woodlawn
60637,43,South Shore
60637,69,Greater Grand Crossing
60638,56,Garfield Ridge
60638,64,Clearing
60639,19,Belmont Cragin
60639,20,Hermosa
60639,21,Avondale
60639,22,Logan Square
60639,23,Humboldt Park
60639,25,Austin
60640,3,Uptown
60640,4,Lincoln Square
60640,77,Edgewater
60641,14,Albany Park
60641,15,Portage Park
60641,16,Irving Park
60641,19,Belmont Cragin
60641,20,Hermosa
60641,21,Avondale
60642,7,Lincoln Park
60642,8,Near North Side
60642,22,Logan Square
60642,24,West Town
60643,53,West Pullman
60643,72,Beverly
60643,73,Washington Heights
60643,75,Morgan Park
60644,25,Austin
60645,1,Rogers Park
60645,2,West Ridge
60646,10,Norwood Park
60646,11,Jefferson Park
60646,12,Forest Glen
60646,13,North Park
60647,7,Lincoln Park
60647,20,Hermosa
60647,21,Avondale
60647,22,Logan Square
60647,23,Humboldt Park
60647,24,West Town
60649,42,Woodlawn
60649,43,South Shore
60649,46,South Chicago
60651,23,Humboldt Park
60651,24,West Town
60651,25,Austin
60652,65,West Lawn
60652,70,Ashburn
60653,35,Douglas
60653,36,Oakland
60653,38,Grand Boulevard
60653,39,Kenwood
60654,8,Near North Side
60654,24,West Town
60654,28,Near West Side
60654,32,Loop
60655,72,Beverly
60655,74,Mount Greenwood
60655,75,Morgan Park
60656,10,Norwood Park
60656,76,O'Hare
60657,5,North Center
60657,6,Lakeview
60657,7,Lincoln Park
60659,2,West Ridge
60659,4,Lincoln Square
60659,12,Forest Glen
60659,13,North Park
60660,1,Rogers Park
60660,2,West Ridge
60660,4,Lincoln Square
60660,77,Edgewater
60661,24,West Town
60661,28,Near West Side
60706,15,Portage Park
60706,76,O'Hare
60707,17,Dunning
60707,18,Montclare
60707,19,Belmont Cragin
60707,25,Austin
60714,12,Forest Glen
60804,25,Austin
60804,56,Garfield Ridge
60827,53,West Pullman
60827,54,Riverdale
